2024巴黎奥运,#genre#
咪咕直播1,http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?channel-id=FifastbLive&Contentid=3000000001000005308&livemode=1&stbId=3$LR•IPV4『线路1』
咪咕直播1,http://[2409:8087:1a01:df::404d]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226124/index.m3u8$LR•IPV6『线路2』
咪咕直播2,http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?channel-id=FifastbLive&Contentid=3000000001000005969&livemode=1&stbId=3$LR•IPV4『线路1』
咪咕直播2,http://[2409:8087:1a01:df::403b]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226147/index.m3u8$LR•IPV6『线路2』
咪咕直播3,http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?channel-id=FifastbLive&Contentid=3000000001000007218&livemode=1&stbId=3$LR•IPV4『线路1』
咪咕直播3,http://[2409:8087:1a01:df::4033]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226398/index.m3u8$LR•IPV6『线路2』
咪咕直播4,http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?channel-id=FifastbLive&Contentid=3000000001000008001&livemode=1&stbId=3$LR•IPV4『线路1』
咪咕直播4,http://[2409:8087:1a01:df::4046]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226472/index.m3u8$LR•IPV6『线路2』
咪咕直播5,http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?channel-id=FifastbLive&Contentid=3000000001000008176&livemode=1&stbId=3$LR•IPV4
咪咕直播6,http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?channel-id=FifastbLive&Contentid=3000000001000008379&livemode=1&stbId=3$LR•IPV4
咪咕直播7,http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?channel-id=FifastbLive&Contentid=3000000001000010129&livemode=1&stbId=3$LR•IPV4
咪咕直播8,http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?channel-id=FifastbLive&Contentid=3000000001000010948&livemode=1&stbId=3$LR•IPV4
咪咕直播9,http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?channel-id=FifastbLive&Contentid=3000000001000028638&livemode=1&stbId=3$LR•IPV4
咪咕直播10,http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?channel-id=FifastbLive&Contentid=3000000001000031494&livemode=1&stbId=3$LR•IPV4
咪咕直播11,http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000000097&livemode=1&stbId=3$LR•IPV4
咪咕直播12,http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000002019&livemode=1&stbId=3$LR•IPV4
咪咕直播13,http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000002809&livemode=1&stbId=3$LR•IPV4
咪咕直播14,http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000003915&livemode=1&stbId=3$LR•IPV4
咪咕直播15,http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000004193&livemode=1&stbId=3$LR•IPV4
咪咕直播16,http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000005837&livemode=1&stbId=3$LR•IPV4
咪咕直播17,http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000006077&livemode=1&stbId=3$LR•IPV4
咪咕直播18,http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000006658&livemode=1&stbId=3$LR•IPV4
咪咕直播19,http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000009788&livemode=1&stbId=3$LR•IPV4
咪咕直播20,http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000010833&livemode=1&stbId=3$LR•IPV4
咪咕直播21,http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000011297&livemode=1&stbId=3$LR•IPV4
咪咕直播22,http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000011518&livemode=1&stbId=3$LR•IPV4
咪咕直播23,http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000012558&livemode=1&stbId=3$LR•IPV4
咪咕直播24,http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000012616&livemode=1&stbId=3$LR•IPV4
咪咕直播25,http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000015470&livemode=1&stbId=3$LR•IPV4
咪咕直播26,http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000015560&livemode=1&stbId=3$LR•IPV4
咪咕直播27,http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000017678&livemode=1&stbId=3$LR•IPV4
咪咕直播28,http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000019839&livemode=1&stbId=3$LR•IPV4
咪咕直播29,http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000021904&livemode=1&stbId=3$LR•IPV4
咪咕直播30,http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000023434&livemode=1&stbId=3$LR•IPV4
咪咕直播31,http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000025380&livemode=1&stbId=3$LR•IPV4
咪咕直播32,http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000027691&livemode=1&stbId=3$LR•IPV4
咪咕直播33,http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000031669&livemode=1&stbId=3$LR•IPV4
咪咕直播34,http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?channel-id=FifastbLive&Contentid=3000000020000011518&livemode=1&stbId=3$LR•IPV4
咪咕直播35,http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?channel-id=FifastbLive&Contentid=3000000020000011519&livemode=1&stbId=3$LR•IPV4
咪咕直播36,http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?channel-id=FifastbLive&Contentid=3000000020000011520&livemode=1&stbId=3$LR•IPV4
咪咕直播37,http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?channel-id=FifastbLive&Contentid=3000000020000011521&livemode=1&stbId=3$LR•IPV4
咪咕直播38,http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?channel-id=FifastbLive&Contentid=3000000020000011522&livemode=1&stbId=3$LR•IPV4
咪咕直播39,http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?channel-id=FifastbLive&Contentid=3000000020000011523&livemode=1&stbId=3$LR•IPV4
咪咕直播40,http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?channel-id=FifastbLive&Contentid=3000000020000011524&livemode=1&stbId=3$LR•IPV4
咪咕直播41,http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?channel-id=FifastbLive&Contentid=3000000020000011525&livemode=1&stbId=3$LR•IPV4
咪咕直播42,http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?channel-id=FifastbLive&Contentid=3000000020000011528&livemode=1&stbId=3$LR•IPV4
咪咕直播43,http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?channel-id=FifastbLive&Contentid=3000000020000011529&livemode=1&stbId=3$LR•IPV4
咪咕直播44,http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?channel-id=FifastbLive&Contentid=3000000020000011530&livemode=1&stbId=3$LR•IPV4
咪咕直播45,http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?channel-id=FifastbLive&Contentid=3000000020000011531&livemode=1&stbId=3$LR•IPV4


央卫视频道1,#genre#
CCTV1-综合,http://175.18.189.238:9902/tsfile/live/0001_1.m3u8?key=txiptv
CCTV2-财经,http://175.18.189.238:9902/tsfile/live/0002_1.m3u8?key=txiptv
CCTV3-综艺,http://175.18.189.238:9902/tsfile/live/0003_1.m3u8?key=txiptv
CCTV4-国际,http://175.18.189.238:9902/tsfile/live/0004_1.m3u8?key=txiptv
CCTV5-体育,http://175.18.189.238:9902/tsfile/live/0005_1.m3u8?key=txiptv
CCTV5+体育赛事,http://175.18.189.238:9902/tsfile/live/0016_1.m3u8?key=txiptv
CCTV6-电影,http://175.18.189.238:9902/tsfile/live/0006_1.m3u8?key=txiptv
CCTV7-军农,http://175.18.189.238:9902/tsfile/live/0007_1.m3u8?key=txiptv
CCTV8-电视剧,http://175.18.189.238:9902/tsfile/live/0008_1.m3u8?key=txiptv
CCTV9-纪录,http://175.18.189.238:9902/tsfile/live/0009_1.m3u8?key=txiptv
CCTV10-科教,http://175.18.189.238:9902/tsfile/live/0010_1.m3u8?key=txiptv
CCTV11-戏曲,http://175.18.189.238:9902/tsfile/live/0011_1.m3u8?key=txiptv
CCTV12-社会与法,http://175.18.189.238:9902/tsfile/live/0012_1.m3u8?key=txiptv
CCTV13-新闻,http://175.18.189.238:9902/tsfile/live/0013_1.m3u8?key=txiptv
CCTV14-少儿,http://175.18.189.238:9902/tsfile/live/0014_1.m3u8?key=txiptv
CCTV15-音乐,http://175.18.189.238:9902/tsfile/live/0015_1.m3u8?key=txiptv
CCTV-16 奥林匹克,http://175.18.189.238:9902/tsfile/live/1061_1.m3u8?key=txiptv
CCTV17-军农,http://175.18.189.238:9902/tsfile/live/1042_1.m3u8?key=txiptv

吉林卫视,http://175.18.189.238:9902/tsfile/live/0116_1.m3u8?key=txiptv
辽宁卫视,http://175.18.189.238:9902/tsfile/live/0121_1.m3u8?key=txiptv
黑龙江卫视,http://175.18.189.238:9902/tsfile/live/0143_1.m3u8?key=txiptv
北京卫视,http://175.18.189.238:9902/tsfile/live/0122_1.m3u8?key=txiptv
东方卫视,http://175.18.189.238:9902/tsfile/live/0107_1.m3u8?key=txiptv
浙江卫视,http://175.18.189.238:9902/tsfile/live/0124_1.m3u8?key=txiptv
江苏卫视,http://175.18.189.238:9902/tsfile/live/0127_1.m3u8?key=txiptv
安徽卫视,http://175.18.189.238:9902/tsfile/live/0130_1.m3u8?key=txiptv
东南卫视,http://175.18.189.238:9902/tsfile/live/0137_1.m3u8?key=txiptv
天津卫视,http://175.18.189.238:9902/tsfile/live/0135_1.m3u8?key=txiptv
江西卫视,http://175.18.189.238:9902/tsfile/live/0138_1.m3u8?key=txiptv
山东卫视,http://175.18.189.238:9902/tsfile/live/0131_1.m3u8?key=txiptv
山西卫视,http://175.18.189.238:9902/tsfile/live/0118_1.m3u8?key=txiptv
河南卫视,http://175.18.189.238:9902/tsfile/live/0139_1.m3u8?key=txiptv
河北卫视,http://175.18.189.238:9902/tsfile/live/0117_1.m3u8?key=txiptv
湖北卫视,http://175.18.189.238:9902/tsfile/live/0132_1.m3u8?key=txiptv
湖南卫视,http://175.18.189.238:9902/tsfile/live/0117_2.m3u8?key=txiptv
广东卫视,http://175.18.189.238:9902/tsfile/live/0125_1.m3u8?key=txiptv
广西卫视,http://175.18.189.238:9902/tsfile/live/0119_1.m3u8?key=txiptv
深圳卫视,http://175.18.189.238:9902/tsfile/live/0126_1.m3u8?key=txiptv
海南卫视,http://175.18.189.238:9902/tsfile/live/0114_1.m3u8?key=txiptv
重庆卫视,http://175.18.189.238:9902/tsfile/live/0142_1.m3u8?key=txiptv
贵州卫视,http://175.18.189.238:9902/tsfile/live/0120_1.m3u8?key=txiptv
四川卫视,http://175.18.189.238:9902/tsfile/live/0123_1.m3u8?key=txiptv
云南卫视,http://175.18.189.238:9902/tsfile/live/0119_2.m3u8?key=txiptv
西藏卫视,http://175.18.189.238:9902/tsfile/live/0111_1.m3u8?key=txiptv
陕西卫视,http://175.18.189.238:9902/tsfile/live/0136_1.m3u8?key=txiptv
青海卫视,http://175.18.189.238:9902/tsfile/live/0140_1.m3u8?key=txiptv
兵团卫视,http://175.18.189.238:9902/tsfile/live/0115_1.m3u8?key=txiptv
甘肃卫视,http://175.18.189.238:9902/tsfile/live/0141_1.m3u8?key=txiptv
新疆卫视,http://175.18.189.238:9902/tsfile/live/0110_1.m3u8?key=txiptv
宁夏卫视,http://175.18.189.238:9902/tsfile/live/0112_1.m3u8?key=txiptv
内蒙古卫视,http://175.18.189.238:9902/tsfile/live/0109_1.m3u8?key=txiptv
CHC 动作电影,http://175.18.189.238:9902/tsfile/live/1014_1.m3u8?key=txiptv
CHC 高清电影,http://175.18.189.238:9902/tsfile/live/1015_1.m3u8?key=txiptv
CHC 家庭影院,http://175.18.189.238:9902/tsfile/live/1016_1.m3u8?key=txiptv
体育赛事,http://175.18.189.238:9902/tsfile/live/1017_1.m3u8?key=txiptv
极速汽车,http://175.18.189.238:9902/tsfile/live/1018_1.m3u8?key=txiptv
游戏风云,http://175.18.189.238:9902/tsfile/live/1019_1.m3u8?key=txiptv
动漫秀场,http://175.18.189.238:9902/tsfile/live/1020_1.m3u8?key=txiptv
生活时尚,http://175.18.189.238:9902/tsfile/live/1021_1.m3u8?key=txiptv
都市时尚,http://175.18.189.238:9902/tsfile/live/1022_1.m3u8?key=txiptv
金色频道,http://175.18.189.238:9902/tsfile/live/1023_1.m3u8?key=txiptv
法制天地,http://175.18.189.238:9902/tsfile/live/1024_1.m3u8?key=txiptv
第一剧场,http://175.18.189.238:9902/tsfile/live/1025_1.m3u8?key=txiptv
怀旧剧场,http://175.18.189.238:9902/tsfile/live/1026_1.m3u8?key=txiptv
电视指南,http://175.18.189.238:9902/tsfile/live/1027_1.m3u8?key=txiptv
央视文化精品,http://175.18.189.238:9902/tsfile/live/1028_1.m3u8?key=txiptv
地理世界,http://175.18.189.238:9902/tsfile/live/1029_1.m3u8?key=txiptv
兵器科技,http://175.18.189.238:9902/tsfile/live/1030_1.m3u8?key=txiptv
女性时尚,http://175.18.189.238:9902/tsfile/live/1031_1.m3u8?key=txiptv
风云音乐,http://175.18.189.238:9902/tsfile/live/1032_1.m3u8?key=txiptv
风云足球,http://175.18.189.238:9902/tsfile/live/1033_1.m3u8?key=txiptv
风云剧场,http://175.18.189.238:9902/tsfile/live/1034_1.m3u8?key=txiptv
央视台球,http://175.18.189.238:9902/tsfile/live/1035_1.m3u8?key=txiptv
卫生健康,http://175.18.189.238:9902/tsfile/live/1036_1.m3u8?key=txiptv
高尔夫,http://175.18.189.238:9902/tsfile/live/1037_1.m3u8?key=txiptv
中国交通,http://175.18.189.238:9902/tsfile/live/1038_1.m3u8?key=txiptv
CETV1,http://175.18.189.238:9902/tsfile/live/1039_1.m3u8?key=txiptv
CETV2,http://175.18.189.238:9902/tsfile/live/1009_1.m3u8?key=txiptv
CETV4,http://175.18.189.238:9902/tsfile/live/1052_1.m3u8?key=txiptv
老故事,http://175.18.189.238:9902/tsfile/live/1047_1.m3u8?key=txiptv
国学频道,http://175.18.189.238:9902/tsfile/live/1048_1.m3u8?key=txiptv
环球奇观,http://175.18.189.238:9902/tsfile/live/1049_1.m3u8?key=txiptv
汽摩频道,http://175.18.189.238:9902/tsfile/live/1050_1.m3u8?key=txiptv
靓妆频道,http://175.18.189.238:9902/tsfile/live/1051_1.m3u8?key=txiptv
快乐垂钓,http://175.18.189.238:9902/tsfile/live/1054_1.m3u8?key=txiptv
茶频道,http://175.18.189.238:9902/tsfile/live/1056_1.m3u8?key=txiptv

央卫视频道2,#genre#
CCTV1-综合,http://175.18.189.238:9902/tsfile/live/0001_1.m3u8?key=txiptv
CCTV2-财经,http://175.18.189.238:9902/tsfile/live/0002_1.m3u8?key=txiptv
CCTV3-综艺,http://175.18.189.238:9902/tsfile/live/0003_1.m3u8?key=txiptv
CCTV4-国际,http://175.18.189.238:9902/tsfile/live/0004_1.m3u8?key=txiptv
