【AV直播】,#genre#
Asian Porn,https://live.adultiptv.net/asian.m3u8
JStar极限台,mitv://generationnexxxt.com:9906/9ca49d959a29450fbc3f7766f7769e54
JStar极限台,mitv://ns2.hellotvvod.com:9906/26901ab1209b471d9fe6c50e145115cd
彩虹e台,mitv://generationnexxxt.com:9906/f25bdd85818748688189670f3a6b22c2
彩虹e台,mitv://45.92.126.18:9906/62668da3000bd6cc134cc0d079365057
彩虹e台,p2p://54.39.16.152:9906/62668da3000bd6cc134cc0d079365057
彩虹e台,P2p://fccs.word-tv.com:9906/62668da3000bd6cc134cc0d079365057
彩虹电影台,mitv://generationnexxxt.com:9906/3d057a573d1f443e9b5b875de1bdf608
彩虹电影台,mitv://45.92.126.18:9906/6260e2d0000cf56c172d19afe4aa1d66
彩虹电影台,p2p://54.39.16.152:9906/6260e2d0000cf56c172d19afe4aa1d66
彩虹电影台,P2p://fccs.word-tv.com:9906/6260e2d0000cf56c172d19afe4aa1d66
K频道,mitv://generationnexxxt.com:9906/59281d33d7d24944abcf3d4aa0ed524c
K频道,mitv://45.92.126.18:9906/6263c0cd0009e68a085c9c619861891f
K频道,p2p://54.39.16.152:9906/6263c0cd0009e68a085c9c619861891f
K频道,P2p://fccs.word-tv.com:9906/6263c0cd0009e68a085c9c619861891f
LOOK TV,mitv://generationnexxxt.com:9906/7a5ddc086a3d459f8adea3597c9f7d60
LOOK TV,P2p://fccs.word-tv.com:9906/6260e2e2000f16e6172d608b5505fbdd
LOOK TV,p2p://54.39.16.152:9906/6260e2e2000f16e6172d608b5505fbdd
LOOK TV,mitv://45.92.126.18:9906/6260e2e2000f16e6172d608b5505fbdd
幻灯片电影,mitv://4506/6260e2b000004933172c99712568d815
幻灯片电影,p2p://594.39.16.152:9906/6260e2b000004933172c99712568d815
惊艳成人电影台,mitv://generationnexxxt.com:9906/d3fb9dd99d004118a5eb9f98dd20b053
惊艳成人电影台,mitv://45.92.126.18:9906/6260e27a0006cf41172bc82c06b29fb9
惊艳成人电影台,p2p://54.39.16.152:9906/6260e27a0006cf41172bc82c06b29fb9
潘朵啦玩美台,mitv://generationnexxxt.com:9906/920530a511934ff980a0bc4ffb64f51c
潘朵啦玩美台,mitv://45.92.126.18:9906/6260e259000d442b172b48ecdda91b31
潘朵啦玩美台,p2p://54.39.16.152:9906/6260e259000d442b172b48ecdda91b31
松视1台,mitv://generationnexxxt.com:9906/b220e1df95e141188def1de2d1a3507e
松视1台,mitv://45.92.126.18:9906/6260dfaa0008dccc1720cc33ffe57894
松视1台,p2p://54.39.16.152:9906/6260dfaa0008dccc1720cc33ffe57894
松视2台,mitv://generationnexxxt.com:9906/d4e997cdc91b4506bf391e7222b77abc
松视2台,mitv://45.92.126.18:9906/6260dfc1000bd4ed172126cefab5cf1b
松视2台,p2p://54.39.16.152:9906/6260dfc1000bd4ed172126cefab5cf1b
